emp_no,first_name,last_name,birth_date,title,to_date,from_date
10001,Georgi,Facello,1953-09-02,Senior Engineer,9999-01-01,1986-06-26
10005,Kyoichi,Maliniak,1955-01-21,Senior Staff,9999-01-01,1996-09-12
10006,Anneke,Preusig,1953-04-20,Senior Engineer,9999-01-01,1990-08-05
10019,Lillian,Haddadi,1953-01-23,Staff,9999-01-01,1999-04-30
10020,Mayuko,Warwick,1952-12-24,Engineer,9999-01-01,1997-12-30
10022,Shahaf,Famili,1952-07-08,Engineer,9999-01-01,1999-09-03
10023,Bojan,Montemayor,1953-09-29,Engineer,9999-01-01,1999-09-27
10026,Yongqiao,Berztiss,1953-04-03,Senior Engineer,9999-01-01,2001-03-19
10053,Sanjiv,Zschoche,1954-09-13,Senior Staff,9999-01-01,1994-11-13
10058,Berhard,McFarlin,1954-10-01,Senior Staff,9999-01-01,1988-04-25
10059,Alejandro,McAlpine,1953-09-19,Senior Staff,9999-01-01,1991-06-26
10063,Gino,Leonhardt,1952-08-06,Senior Engineer,9999-01-01,1989-04-08
10070,Reuven,Garigliano,1955-08-20,Technique Leader,9999-01-01,1985-10-14
10072,Hironoby,Sidou,1952-05-15,Senior Engineer,9999-01-01,1995-05-21
10074,Mokhtar,Bernatsky,1955-08-28,Technique Leader,9999-01-01,1990-08-13
10076,Erez,Ritzmann,1952-06-13,Senior Engineer,9999-01-01,1996-07-15
10088,Jungsoon,Syrzycki,1954-02-25,Senior Staff,9999-01-01,1993-09-02
10096,Jayson,Mandell,1954-09-16,Engineer,9999-01-01,1999-01-23
10097,Remzi,Waschkowski,1952-02-27,Senior Staff,9999-01-01,1996-09-14
10100,Hironobu,Haraldson,1953-04-21,Senior Staff,9999-01-01,1994-09-21
10103,Akemi,Birch,1953-11-26,Engineer,9999-01-01,1998-01-12
10127,Subir,Baja,1952-02-24,Senior Engineer,9999-01-01,1991-05-17
10129,Armond,Peir,1955-12-02,Technique Leader,9999-01-01,1996-01-16
10130,Nishit,Casperson,1955-04-27,Senior Engineer,9999-01-01,1988-06-21
10153,Heekeun,Majewski,1955-12-15,Assistant Engineer,9999-01-01,2000-01-08
10157,Nigel,Aloisi,1954-04-23,Senior Engineer,9999-01-01,1997-12-10
10159,Serif,Buescher,1955-03-03,Senior Engineer,9999-01-01,1996-06-12
10163,Karsten,Szmurlo,1952-09-17,Senior Staff,9999-01-01,1992-02-02
10166,Samphel,Siegrist,1953-05-10,Engineer,9999-01-01,1996-09-02
10183,Mechthild,Bonifati,1954-10-17,Staff,9999-01-01,1996-08-11
10194,Josyula,Hofmeyr,1954-01-29,Senior Staff,9999-01-01,2002-02-14
10196,Marc,Hellwagner,1954-01-27,Staff,9999-01-01,1999-01-31
10203,Steen,Escriba,1955-07-27,Senior Staff,9999-01-01,1995-04-06
10205,Mabhin,Leijenhorst,1953-05-20,Senior Engineer,9999-01-01,1993-08-23
10207,Girolamo,Anandan,1955-05-28,Senior Engineer,9999-01-01,1997-10-11
10215,Xiaobin,Duclos,1954-04-02,Senior Staff,9999-01-01,1991-11-23
10219,Genta,Kolvik,1952-05-02,Senior Staff,9999-01-01,1993-03-31
10228,Karoline,Cesareni,1953-04-21,Senior Staff,9999-01-01,1998-12-22
10230,Clyde,Vernadat,1955-09-11,Senior Staff,9999-01-01,2002-06-16
10233,Lein,Vendrig,1954-04-01,Senior Staff,9999-01-01,2000-04-28
10239,Nikolaos,Llado,1955-03-31,Staff,9999-01-01,1996-05-04
10240,Remko,Maccarone,1952-04-01,Engineer,9999-01-01,1998-10-06
10248,Frederique,Tempesti,1955-09-24,Senior Staff,9999-01-01,1997-08-12
10262,Mahendra,Maraist,1955-08-04,Staff,9999-01-01,1996-01-22
10272,Yishai,Cannane,1954-11-30,Staff,9999-01-01,1997-10-23
10284,Masali,Murrill,1954-04-08,Engineer,9999-01-01,1999-07-06
